slide_num,slide_title,matched_titulo_sugerido,matched_nombre,matched_tipo,sheet,similarity_0to1
1,Ciudad Autónoma de Buenos Aires,Apertura Itaí Hagman de Fuerza Patria,Itaí Hagman de Fuerza Patria,desconocido,PROYE,0.4412
2,Contenido,Apertura Otro,Otro,desconocido,PROYE,0.2727
3,01. Información general | Ciudad Autónoma de Buenos Aires,Apertura Graciela Ocaña de Ciudadanos Unidos,Graciela Ocaña de Ciudadanos Unidos,desconocido,PROYE,0.4158
4,02.,Apertura .,0.25998159425540723,desconocido,Sheet1,0.1538
5,71%,Apertura Total,Total,desconocido,Sheet1,0.0
6,No difundir este material sin autorización previa | 6 Tracking electoral 7 –CABA | Octubre 2025 02. Panorama electoral | Evolutivo probabilidad de votar en las elecciones legislativas nacionales,Apertura p. Y en las elecciones a senadores nacionales por CABA a cuál de estos candidatos votaría si las elecciones fueran hoy,p08. Y en las elecciones a senadores nacionales por CABA ¿a cuál de estos candidatos votaría si las elecciones fueran hoy,desconocido,PROYE,0.2555
7,Tracking electoral 7 –CABA | Octubre 2025 No difundir este material sin autorización previa | 771%75%,Apertura Marcela Campagnoli senadora y Hernán Reyes diputado por la Coalición Cívica,Marcela Campagnoli senadora y Hernán Reyes diputado por la Coalición Cívica,desconocido,PROYE,0.3676
8,02. Panorama electoral | Proyección de indecisos | Evolutivo escenario electoral legislativas,Apertura p. Y en las elecciones a senadores nacionales por CABA a cuál de estos candidatos votaría si las elecciones fueran hoy,p08. Y en las elecciones a senadores nacionales por CABA ¿a cuál de estos candidatos votaría si las elecciones fueran hoy,desconocido,PROYE,0.3818
9,Tracking electoral 7 –CABA | Octubre 2025 No difundir este material sin autorización previa | 936%38%34%37%,Apertura Marcela Campagnoli senadora y Hernán Reyes diputado por la Coalición Cívica,Marcela Campagnoli senadora y Hernán Reyes diputado por la Coalición Cívica,desconocido,PROYE,0.356
10,02. Panorama electoral | Proyección de indecisos | Evolutivo escenario electoral senadores,Apertura p. Y en las elecciones a diputados nacionales por CABA a cuál de estos candidatos votaría si las elecciones fueran hoy,p09. Y en las elecciones a diputados nacionales por CABA ¿a cuál de estos candidatos votaría si las elecciones fueran hoy,desconocido,PROYE,0.3594
11,Tracking electoral 7 –CABA | Octubre 2025 No difundir este material sin autorización previa | 1138%41%,Apertura Marcela Campagnoli senadora y Hernán Reyes diputado por la Coalición Cívica,Marcela Campagnoli senadora y Hernán Reyes diputado por la Coalición Cívica,desconocido,PROYE,0.3656
12,02. Panorama electoral | Cruce | Escenario electoral legislativas nacionales CABA 2025 por,Apertura p. Y hablando de fórmulas para las elecciones a senadores y diputados nacionales por CABA a cuál votaría si las elecciones fueran hoy,p10. Y hablando de fórmulas para las elecciones a senadores y diputados nacionales por CABA ¿a cuál votaría si las elecciones fueran hoy,desconocido,PROYE,0.3621
13,02. Panorama electoral | Proyección de indecisos | Evolutivo escenario electoral diputados,Apertura p. Y en las elecciones a senadores nacionales por CABA a cuál de estos candidatos votaría si las elecciones fueran hoy,p08. Y en las elecciones a senadores nacionales por CABA ¿a cuál de estos candidatos votaría si las elecciones fueran hoy,desconocido,PROYE,0.3963
14,Tracking electoral 7 –CABA | Octubre 2025 No difundir este material sin autorización previa | 1434% 35%33%38%,Apertura Marcela Campagnoli senadora y Hernán Reyes diputado por la Coalición Cívica,Marcela Campagnoli senadora y Hernán Reyes diputado por la Coalición Cívica,desconocido,PROYE,0.3523
15,02. Panorama electoral | Cruce | Escenario electoral senadores nacionales CABA 2025 vs.,Apertura p. Y hablando de fórmulas para las elecciones a senadores y diputados nacionales por CABA a cuál votaría si las elecciones fueran hoy,p10. Y hablando de fórmulas para las elecciones a senadores y diputados nacionales por CABA ¿a cuál votaría si las elecciones fueran hoy,desconocido,PROYE,0.4017
16,02. Panorama electoral | Proyección de indecisos | Evolutivo escenario electoral lista completa,Apertura p. Y en las elecciones a senadores nacionales por CABA a cuál de estos candidatos votaría si las elecciones fueran hoy,p08. Y en las elecciones a senadores nacionales por CABA ¿a cuál de estos candidatos votaría si las elecciones fueran hoy,desconocido,PROYE,0.3874
17,Tracking electoral 7 –CABA | Octubre 2025 No difundir este material sin autorización previa | 1738%40%36%39%,Apertura Marcela Campagnoli senadora y Hernán Reyes diputado por la Coalición Cívica,Marcela Campagnoli senadora y Hernán Reyes diputado por la Coalición Cívica,desconocido,PROYE,0.3542
18,02. Panorama electoral | Evolutivo | Intención de voto de Fuerza Patria escenario electoral lista,Apertura Mariano Recalde de Fuerza Patria,Mariano Recalde de Fuerza Patria,desconocido,PROYE,0.4058
19,02. Panorama electoral | Potencialidad de voto elecciones legislativas nacionales CABA 2025,Apertura p. Y hablando de fórmulas para las elecciones a senadores y diputados nacionales por CABA a cuál votaría si las elecciones fueran hoy,p10. Y hablando de fórmulas para las elecciones a senadores y diputados nacionales por CABA ¿a cuál votaría si las elecciones fueran hoy,desconocido,PROYE,0.3605
20,30% 29%37% 38%35% 35%10%10%10%10%11%9%10%7%9% 7%8%9%9%,Apertura Itaí Hagman de Fuerza Patria,Itaí Hagman de Fuerza Patria,desconocido,PROYE,0.0879
21,26%30% 31%36%31% 31%10%12% 13%10%,Apertura Itaí Hagman de Fuerza Patria,Itaí Hagman de Fuerza Patria,desconocido,PROYE,0.0857
22,02. Panorama electoral | Evolutivo potencialidad de voto elecciones legislativas nacionales,Apertura Martin Lousteau de Ciudadanos Unidos,Martin Lousteau de Ciudadanos Unidos,desconocido,PROYE,0.3382
23,02. Panorama electoral | Cruce | Apertura potencialidad de voto por intención de voto CABA 2025,Apertura Un candidato de la Coalición Cívica de Elisa Carrió,Un candidato de la Coalición Cívica de Elisa Carrió,desconocido,PROYE,0.4129
24,03.,Apertura .,0.25998159425540723,desconocido,Sheet1,0.1538
25,+ <> -¿Qué imagen tiene de…?03. Imágenes | Nacionales | Evaluación,Apertura Martin Lousteau de Ciudadanos Unidos,Martin Lousteau de Ciudadanos Unidos,desconocido,PROYE,0.3423
26,47%44% 45%46%49% 49%,Apertura No sabe,No sabe,desconocido,PROYE,0.1111
27,No difundir este material sin autorización previa | 12+ <> -¿Qué imagen tiene de…?03. Imágenes | Locales | Evaluación I,Apertura Un candidato de la Coalición Cívica de Elisa Carrió,Un candidato de la Coalición Cívica de Elisa Carrió,desconocido,PROYE,0.324
28,No difundir este material sin autorización previa | 12+ <> -¿Qué imagen tiene de…?03. Imágenes | Locales | Evaluación II,Apertura Un candidato de la Coalición Cívica de Elisa Carrió,Un candidato de la Coalición Cívica de Elisa Carrió,desconocido,PROYE,0.3222
29,03. Imágenes | Locales | Evolutivos,Apertura Graciela Ocaña de Ciudadanos Unidos,Graciela Ocaña de Ciudadanos Unidos,desconocido,PROYE,0.3544
30,03. Imágenes | Locales | Evolutivos,Apertura Graciela Ocaña de Ciudadanos Unidos,Graciela Ocaña de Ciudadanos Unidos,desconocido,PROYE,0.3544
31,03. Imágenes | Locales | Evolutivos,Apertura Graciela Ocaña de Ciudadanos Unidos,Graciela Ocaña de Ciudadanos Unidos,desconocido,PROYE,0.3544
32,03. Imágenes | Locales | Evolutivos,Apertura Graciela Ocaña de Ciudadanos Unidos,Graciela Ocaña de Ciudadanos Unidos,desconocido,PROYE,0.3544
33,03. Imágenes | Locales | Evolutivo | Evaluación positiva de la imagen de Mariano Recalde,Apertura Alejandro Fargosi por La Libertad Avanza en alianza con el PRO,Alejandro Fargosi por La Libertad Avanza en alianza con el PRO,desconocido,PROYE,0.3396
34,03. Imágenes | Locales | Evolutivo | Evaluación positiva de la imagen de ItaíHagman,Apertura Un candidato de Fuerza Patria de Cristina Fernández de Kirchner Axel Kicillof y Sergio Massa,Un candidato de Fuerza Patria de Cristina Fernández de Kirchner Axel Kicillof y Sergio Massa,desconocido,PROYE,0.3478
35,04.,Apertura .,0.25998159425540723,desconocido,Sheet1,0.1538
36,04. Gestiones | Evaluación,Apertura Hernán Reyes por la Coalición Cívica,Hernán Reyes por la Coalición Cívica,desconocido,PROYE,0.3662
37,43%48%46%49% 50%,Apertura .,0.25998159425540723,desconocido,Sheet1,0.0769
38,04. Gestiones | Apertura evaluación de la gestión del gobierno nacional a cargo,Apertura Un candidato de la Coalición Cívica de Elisa Carrió,Un candidato de la Coalición Cívica de Elisa Carrió,desconocido,PROYE,0.446
39,04. Gestiones | Apertura evaluación de la gestión del gobierno de la ciudad de Buenos Aires a,Apertura Un candidato del Frente de Izquierda de Myriam Bregman,Un candidato del Frente de Izquierda de Myriam Bregman,desconocido,PROYE,0.4872
40,04. Gestiones | Evolutivo | Evaluación positiva gestión gobierno nacional de Javier Milei,Apertura Alejandro Fargosi por La Libertad Avanza en alianza con el PRO,Alejandro Fargosi por La Libertad Avanza en alianza con el PRO,desconocido,PROYE,0.3375
41,0%10%20%30%40%50%60%70%80%90%100%,Apertura Total,Total,desconocido,Sheet1,0.0
42,05.,Apertura .,0.25998159425540723,desconocido,Sheet1,0.1538
