slide_num,slide_title,matched_titulo_sugerido,matched_nombre,matched_tipo,sheet,similarity_0to1
1,Provincia de Córdoba,Apertura Natalia de la Sota por Defendamos Córdoba,Natalia de la Sota por Defendamos Córdoba,desconocido,PROYE,0.4571
2,A2. Aperturas de imágenes,Apertura .e-,2.231093953192032e-07,desconocido,Sheet1,0.5405
3,01. Información general | Provincia de Córdoba,Apertura A un candidato de Provincias Unidas,A un candidato de Provincias Unidas,desconocido,PROYE,0.4
4,01. Información general | Provincia de Córdoba,Apertura A un candidato de Provincias Unidas,A un candidato de Provincias Unidas,desconocido,PROYE,0.4
5,02.,Apertura .,0.3767800602976596,desconocido,Sheet1,0.1538
6,02. Gestiones | Evaluación,Apertura En blanco,En blanco,desconocido,PROYE,0.2727
7,02. Gestiones | Evolutivos,Apertura Juan Schiaretti por Provincias Unidas,Juan Schiaretti por Provincias Unidas,desconocido,PROYE,0.3056
8,36%48%56%,Apertura Total,Total,desconocido,Sheet1,0.0
9,02. Gestiones | Apertura evaluación de la gestión del gobierno nacional a cargo de Javier Milei,Apertura A un candidato de La Libertad Avanza,A un candidato de La Libertad Avanza,desconocido,PROYE,0.4143
10,02. Gestiones | Apertura evaluación de la gestión del gobierno provincial a cargo de Martín Llaryora,Apertura Juan Schiaretti por Provincias Unidas,Juan Schiaretti por Provincias Unidas,desconocido,PROYE,0.4247
11,02. Gestiones | Apertura evaluación de la ultima gestión del gobierno municipal a cargo del,Apertura A un candidato de La Libertad Avanza,A un candidato de La Libertad Avanza,desconocido,PROYE,0.4265
12,02. Gestiones | Apertura evaluación de la gestión pasada de José Manuel De la Sota como,Apertura A un candidato de La Libertad Avanza,A un candidato de La Libertad Avanza,desconocido,PROYE,0.4242
13,25%32%,Apertura Total,Total,desconocido,Sheet1,0.0
14,25%32%,Apertura Total,Total,desconocido,Sheet1,0.0
15,11%28%25%27%,Apertura Total,Total,desconocido,Sheet1,0.0
16,11%28%25%27%,Apertura Total,Total,desconocido,Sheet1,0.0
17,11%28%25%27%,Apertura Total,Total,desconocido,Sheet1,0.0
18,03.,Apertura .,0.3767800602976596,desconocido,Sheet1,0.1538
19,"No difundir este material sin autorización previa | 19Entre estos dirigentes nacionales, ¿qué imagen tiene de…?03. Imágenes | Nacionales | Evaluación",Apertura Ramón Mestre por Unión Cívica Radical,Ramón Mestre por Unión Cívica Radical,desconocido,PROYE,0.2359
20,37%42%48%58%,Apertura Total,Total,desconocido,Sheet1,0.0
21,"No difundir este material sin autorización previa | 21Entre estos dirigentes provinciales, ¿qué imagen tiene de…?03. Imágenes | Provinciales | Evaluación",Apertura Juan Schiaretti por Provincias Unidas,Juan Schiaretti por Provincias Unidas,desconocido,PROYE,0.2312
22,03. Imágenes | Provinciales | Evolutivos,Apertura Juan Schiaretti por Provincias Unidas,Juan Schiaretti por Provincias Unidas,desconocido,PROYE,0.4419
23,03. Imágenes | Provinciales | Evolutivos,Apertura Juan Schiaretti por Provincias Unidas,Juan Schiaretti por Provincias Unidas,desconocido,PROYE,0.4419
24,03. Imágenes | Provinciales | Evolutivos,Apertura Juan Schiaretti por Provincias Unidas,Juan Schiaretti por Provincias Unidas,desconocido,PROYE,0.4419
25,03. Imágenes | Provinciales | Apertura imagen de Natalia De La Sota,Apertura Natalia de la Sota por Defendamos Córdoba,Natalia de la Sota por Defendamos Córdoba,desconocido,PROYE,0.4615
26,14%22%,Apertura Total,Total,desconocido,Sheet1,0.0
27,14%22%,Apertura Total,Total,desconocido,Sheet1,0.0
28,16%31%,Apertura Total,Total,desconocido,Sheet1,0.0
29,16%31%,Apertura Total,Total,desconocido,Sheet1,0.0
30,04.,Apertura .,0.3767800602976596,desconocido,Sheet1,0.1538
31,69%,Apertura Total,Total,desconocido,Sheet1,0.0
32,04. Panorama electoral | Apertura probabilidad de votar en las elecciones legislativas nacionales,Apertura p p. Y pensando en candidatos a quién votarías si la elección fuese este domingo,p12 p12. ¿Y pensando en candidatos a quién votarías si la elección fuese este domingo?,desconocido,PROYE,0.4194
33,04. Panorama electoral | Escenario electoral legislativas nacionales Córdoba 2025 por,Apertura Natalia de la Sota por Defendamos Córdoba,Natalia de la Sota por Defendamos Córdoba,desconocido,PROYE,0.2667
34,04. Panorama electoral | Evolutivo escenario electoral legislativas nacionales Córdoba 2025,Apertura p p. Y pensando en candidatos a quién votarías si la elección fuese este domingo,p12 p12. ¿Y pensando en candidatos a quién votarías si la elección fuese este domingo?,desconocido,PROYE,0.2556
35,38%,Apertura Total,Total,desconocido,Sheet1,0.0
36,04. Panorama electoral | Apertura escenario electoral legislativas nacionales Córdoba 2025 por,Apertura A un candidato de Provincias Unidas,A un candidato de Provincias Unidas,desconocido,PROYE,0.3333
37,04. Panorama electoral | Cruce | Voto anterior gobernador de Córdoba 2023 vs.,Apertura A un candidato de Defendamos Córdoba,A un candidato de Defendamos Córdoba,desconocido,PROYE,0.3115
38,04. Panorama electoral | Escenario electoral diputados nacionales Córdoba 2025,Apertura Natalia de la Sota por Defendamos Córdoba,Natalia de la Sota por Defendamos Córdoba,desconocido,PROYE,0.2812
39,04. Panorama electoral | Evolutivo escenario electoral diputados nacionales Córdoba 2025,Apertura p p. Y pensando en candidatos a quién votarías si la elección fuese este domingo,p12 p12. ¿Y pensando en candidatos a quién votarías si la elección fuese este domingo?,desconocido,PROYE,0.2712
40,30%,Apertura Total,Total,desconocido,Sheet1,0.0
41,04. Panorama electoral | Apertura escenario electoral diputados nacionales Córdoba 2025,Apertura Gonzalo Roca por La Libertad Avanza,Gonzalo Roca por La Libertad Avanza,desconocido,PROYE,0.3817
42,04. Panorama electoral | Cruce | Escenario electoral legislativas nacionales Córdoba 2025 por,Apertura p p. Y pensando en candidatos a quién votarías si la elección fuese este domingo,p12 p12. ¿Y pensando en candidatos a quién votarías si la elección fuese este domingo?,desconocido,PROYE,0.2747
